Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
80,Sun Universe ,750,Central,Sinhagad road,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,1500,6723.6
84,Westend village ,200,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,4924.8
85,House of Aadya,1,Central,Deccan ,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,728.4
86,Atul Nagar,300,Central,Warje,September,Q5,15-Sep-21,dull,Weekday,self,repeat,500,1382.4
89,Soba Savera,150,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,500,3775.8
91,Sun Paradise,175,Central,Sinhagad road,February,Q3,27-Feb-21,excited,WEEKEND,Self,repeat,0,6000.0
92,Vaatsalyapuram-Kumre,200,Central,Kothrud,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,0,3634.2
93,Atul Park Ph1,300,Central,Warje,January,Q3,30-Jan-21,excited,WEEKEND,Self,repeat,500,2427.6
98,Rohan leher,300,West,Baner,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0,10380.0
99,Alcon Renaissant ,200,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,7320.0
101,Nyati empire,300,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,10132.2
103,Shivtara society,200,Central,Kothrud,March,Q3,20-Mar-21,excited,WEEKEND,SPF,repeat,3000,12465.0
106,Ajantha Avenue,400,Central,Kothrud,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,2900,11496.6
107,Lakshmi deep,228,West,Wakad,March,Q3,27-Mar-21,dull,WEEKEND,mygate,repeat,3800,1359.0
108,Kalpataru Splendour,327,West,Wakad,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,3800,18814.8
109,Millenium Acropolis,181,West,Wakad,March,Q3,28-Mar-21,excited,WEEKEND,mygate,repeat,2500,3840.0
110,Uday HillTop,225,West,Ravet,June,Q4,24-Jun-21,excited,weekday,Self,repeat,0,17280.0
111,Westend Village,200,Central,Bhusari colony,June,Q4,25-Jun-21,normal,weekday,Self,repeat,750,3803.4
114,Ivory Estate,500,West,Baner,July,Q5,11-Jul-21,excited,Weekday,Self,repeat,0,3000.0
115,Peace Valley,280,West,Pimple Saudagar,July,Q5,17-Jul-21,normal,Weekend,MYGATE,repeat,5000,10020.0
120,DSK Gandhkosh,280,West,Baner,July,Q5,31-Jul-21,normal,Weekend,Nobroker,repeat,2500,5854.2
121,Park Ivory,450,West,Wakad,July,Q5,31-Jul-21,excited,,MYGATE,repeat,5000,10108.2
126,Blue Bells AUra,120,West,Baner,August,Q5,7-Aug-21,dull,Weekday,Nobroker,repeat,1000,2756.4
127,Felicitia,130,West,Baner,August,Q5,7-Aug-21,dull,Weekend,Nobroker,repeat,1000,2996.4
131,Ivory Estate,300,West,Baner,August,Q5,11-Aug-21,neutral,Weekend,Self,repeat,0,1200.0
132,Sigma One,130,Central,Kothrud,August,Q5,12-Aug-21,excited,Weekday,Self,repeat,0,5368.2
137,Indradhanu Apartments,200,Central,Kothrud,August,Q5,15-Aug-21,excited,Weekend,Nobroker,repeat,1000,5648.4
138,Sun Universe,750,Central,Sinhagad road,August,Q5,20-Aug-21,excited,Weekend,Self,repeat,1500,10330.8
140,Sudatta Sankul,200,Central,Sinhagad road,August,Q5,20-Aug-21,neutral,weekday,Self,repeat,600,3708.0
141,Pinnac Anand,150,West,Karvenagar,August,Q5,21-Aug-21,excited,weekday,Self,repeat,0,7608.0
143,Rahul Nagar,300,Central,Kothrud,August,Q5,22-Aug-21,neutral,Weekend,Self,repeat,0,3468.0
147,Mont Vert Seville,500,West,Wakad,August,Q5,27-Aug-21,excited,weekday,self,repeat,1000,4063.8
148,Vardhaman Residency,250,West,Wakad,August,Q5,27-Aug-21,dull,weekday,Nobroker,repeat,1000,2734.8
