Date,Society 1,Society 2,Area,Zone,Week Number,Standard,Flat Count
To be decided,Rohan Garima,Rohan Garima,SB road,Central,To be decided,Medium,190
To be decided,Suyog nagar,Suyog nagar,SB road,Central,To be decided,Medium,200
To be decided,Sky lounge ,Sky lounge ,Kalyaninagar,East,To be decided,Medium,290
To be decided,Veeroday society ,Veeroday society ,Kharadi,North,To be decided,Medium,100
To be decided,Aditya Comfort Zon,Aditya Comfort Zon,Baner,West,To be decided,Medium,550
To be decided,Supreme palms,Supreme palms,Baner,West,To be decided,Medium,250
To be decided,Iris,Iris,Baner,West,To be decided,Medium,200
To be decided,Marvel Zephyr,Marvel Zephyr,Kharadi,North,To be decided,Medium,200
To be decided,Kumar Primrose,Kumar Primrose,Kharadi,North,To be decided,Medium,200
To be decided,Rohan Mithila Upper parijat,Rohan Mithila Upper parijat,Vimanagar,North,To be decided,Medium,200
To be decided,Rohan mithila A-Y,Rohan mithila A-Y,Vimanagar,North,To be decided,Medium,350
To be decided,Lake Vista,Lake Vista,Ambegaon,South,To be decided,Medium,650
To be decided,Pinnac Anand ,Pinnac Anand ,Karvenagar,West,To be decided,Medium,150
To be decided,Kumar parisar,Kumar parisar,Kothrud,Central,To be decided,Medium,200
To be decided,Sicilia,Sicilia,Ghorpadi,East,To be decided,Medium,260
To be decided,Yellow blossoms ,Yellow blossoms ,Ghorpadi,East,To be decided,Medium,260
To be decided,Raheja woods,Raheja woods,Kalyaninagar,East,To be decided,Medium,250
To be decided,Kumar Kruti,Kumar Kruti,Kalyaninagar,East,To be decided,Medium,400
To be decided,Landmark Greens,Landmark Greens,Kalyaninagar,East,To be decided,Medium,200
To be decided,Kunal Aspiree,Kunal Aspiree,Balewadi,West,To be decided,Medium,200
To be decided,Mont vert biaritz phase 1,Mont vert biaritz phase 1,Baner,West,To be decided,Medium,88
To be decided,Gera Empress,Gera Empress,Baner,West,To be decided,Medium,200
To be decided,Sukhwani Sepia,Sukhwani Sepia,Wakad,West,To be decided,Medium,200
To be decided,Springfield,Springfield,Kothrud,Central,To be decided,Medium,250
To be decided,Om avishkar(Sneh paradise),Om avishkar(Sneh paradise),Kothrud,Central,To be decided,Medium,150
To be decided,Antelia ,Antelia ,Bavdhan,West,To be decided,Medium,200
To be decided,Sundar sahawas,Sundar sahawas,Dhayari,South,To be decided,Worst,150
To be decided,Rajyog phase 2,Rajyog phase 2,Dhayari,South,To be decided,Worst,100
To be decided,Sundar Sahwas Ph2,Sundar Sahwas Ph2,Sinhagad road,Central,To be decided,Worst,200
To be decided,Amrutwel,Amrutwel,Warje,Central,To be decided,Medium,150
To be decided,House of Aadya,House of Aadya,Deccan ,Central,To be decided,Worst,1
To be decided,Atul Nagar,Atul Nagar,Warje,Central,To be decided,Worst,300
To be decided,RamyaNagri,RamyaNagri,Bibwewadi,Central,To be decided,Medium,430
To be decided,Suyog Aditya,Suyog Aditya,Bibwewadi,Central,To be decided,Medium,96
To be decided,Soba Savera,Soba Savera,Bibwewadi,Central,To be decided,Medium,150
To be decided,Sai Mystique,Sai Mystique,Ambegaon,South,To be decided,Medium,325
To be decided,Sun Paradise,Sun Paradise,Sinhagad road,Central,To be decided,Medium,175
To be decided,Vaatsalyapuram-Kumre,Vaatsalyapuram-Kumre,Kothrud,Central,To be decided,Medium,200
To be decided,Atul Park Ph1,Atul Park Ph1,Warje,Central,To be decided,Worst,300
To be decided,Hill View,Hill View,Warje,Central,To be decided,Medium,350
To be decided,Konark Krish,Konark Krish,Keshavnagar,East,To be decided,Medium,150
To be decided,Rohan leher,Rohan leher,Baner,West,To be decided,Medium,300
To be decided,Alcon Renaissant ,Alcon Renaissant ,Kharadi,North,To be decided,Medium,200
To be decided,Marvel citine,Marvel citine,Kharadi,North,To be decided,Medium,200
To be decided,Nyati empire,Nyati empire,Kharadi,North,To be decided,Medium,300
To be decided,Ganga archadia,Ganga archadia,Kharadi,North,To be decided,Medium,150
To be decided,Shivtara society,Shivtara society,Kothrud,Central,To be decided,Medium,200
To be decided,Rakshak nagar 1,Rakshak nagar 1,Kharadi,North,To be decided,Worst,400
To be decided,Rakshak nagar 2,Rakshak nagar 2,Kharadi,North,To be decided,Medium,400
To be decided,Ajantha Avenue,Ajantha Avenue,Kothrud,Central,To be decided,Medium,400
To be decided,Lakshmi deep,Lakshmi deep,Wakad,West,To be decided,Worst,228
To be decided,Kalpataru Splendour,Kalpataru Splendour,Wakad,West,To be decided,Medium,327
To be decided,Millenium Acropolis,Millenium Acropolis,Wakad,West,To be decided,Medium,181
To be decided,Uday HillTop,Uday HillTop,Ravet,West,To be decided,Medium,225
To be decided,The Cliff Garden,The Cliff Garden,Hinjewadi,West,To be decided,Medium,600
To be decided,ARV Royale,ARV Royale,Hadapsar,East,To be decided,Medium,200
To be decided,Ivory Estate,Ivory Estate,Baner,West,To be decided,Medium,500
To be decided,Peace Valley,Peace Valley,Pimple Saudagar,West,To be decided,Medium,280
To be decided,Perfect 10,Perfect 10,Balewadi,West,To be decided,Medium,280
To be decided,Life Montage,Life Montage,Sus,West,To be decided,Medium,400
To be decided,Anveshak Tech (Sandeep Tonapi),Anveshak Tech (Sandeep Tonapi),Sinhagad road,Central,To be decided,Medium,0
To be decided,DSK Gandhkosh,DSK Gandhkosh,Baner,West,To be decided,Medium,280
To be decided,Park Ivory,Park Ivory,Wakad,West,To be decided,Medium,450
To be decided,Landmark Gardens,Landmark Gardens,Kalyaninagar,East,To be decided,Medium,200
To be decided,Mountain Glory,Mountain Glory,Kharadi,North,To be decided,Worst,300
To be decided,Marvel Cerise,Marvel Cerise,Kharadi,North,To be decided,Medium,300
To be decided,Astonia Royale,Astonia Royale,Ambegaon,South,To be decided,Medium,500
To be decided,Blue Bells AUra,Blue Bells AUra,Baner,West,To be decided,Medium,120
To be decided,Felicitia,Felicitia,Baner,West,To be decided,Medium,130
To be decided,Windows,Windows,Sus,West,To be decided,Medium,320
To be decided,Anshul Kanvas,Anshul Kanvas,Wagholi,North,To be decided,Medium,150
To be decided,Oxy Ultima,Oxy Ultima,Wagholi,North,To be decided,Medium,200
To be decided,Blue Ridge,Blue Ridge,Hinjewadi,West,To be decided,Angel,800
To be decided,The Crown Greens,The Crown Greens,Hinjewadi,West,To be decided,Medium,190
To be decided,Forest County,Forest County,Kharadi,North,To be decided,Medium,800
To be decided,Kumar Primavera,Kumar Primavera,Kharadi,North,To be decided,Medium,500
To be decided,Indradhanu Apartments,Indradhanu Apartments,Kothrud,Central,To be decided,Medium,200
To be decided,Little Millenium School,Little Millenium School,Vimanagar,North,To be decided,Worst,0
To be decided,Rahul Nagar,Rahul Nagar,Kothrud,Central,To be decided,Medium,300
To be decided,Yellow Blosson,Yellow Blosson,Ghorpadi,East,To be decided,Worst,250
To be decided,Mont Vert Seville,Mont Vert Seville,Wakad,West,To be decided,Medium,500
To be decided,Vardhaman Residency,Vardhaman Residency,Wakad,West,To be decided,Medium,250
To be decided,Western Avenue,Western Avenue,Hinjewadi,West,To be decided,Medium,600
To be decided,Life Republic 7,Life Republic 7,Hinjewadi,West,To be decided,Angel,850
To be decided,Sneh Paradise,Sneh Paradise,Kothrud,Central,To be decided,Medium,250
To be decided,Sarita Vaibhav,Sarita Vaibhav,Sinhagad road,Central,To be decided,Medium,300
To be decided,Swarnavilas,Swarnavilas,Baner,West,To be decided,Medium,45
To be decided,Aureate,Aureate,Pimple Saudagar,West,To be decided,Medium,120
To be decided,Shivam Society,Shivam Society,Pimple Saudagar,West,To be decided,Medium,160
To be decided,Ajinkyatara,Ajinkyatara, Narhe,South,To be decided,Medium,350
To be decided,Somani Residency,Somani Residency,Punawle,West,To be decided,Worst,250
To be decided,Palash Housing Society,Palash Housing Society,Wakad,West,To be decided,Medium,250
To be decided,River Residency,River Residency,Moshi,North,To be decided,Angel,1300
To be decided,jardin,jardin,Baner,West,To be decided,Medium,250
To be decided,beverly hills,beverly hills,Baner,West,To be decided,Medium,250
To be decided,Aeropolis,Aeropolis,Dhanori,North,To be decided,Medium,330
To be decided,Atria Soc,Atria Soc,Dhanori,North,To be decided,Worst,330
To be decided,Life Republic 3,Life Republic 3,Hinjewadi,West,To be decided,Medium,700
To be decided,Life Republic 4,Life Republic 4,Hinjewadi,West,To be decided,Medium,700
To be decided,Hallmark Soc,Hallmark Soc,Ravet,West,To be decided,Medium,300
To be decided,Goodwill Soc,Goodwill Soc,Ravet,West,To be decided,Medium,250
To be decided,Gera Trinity Tower,Gera Trinity Tower,Kharadi,North,To be decided,Medium,250
To be decided,Ivy Estate,Ivy Estate,Wagholi,North,To be decided,Medium,800
To be decided,Roseland residency,Roseland residency,Pimple Saudagar,West,To be decided,Angel,900
To be decided,Rose Icon,Rose Icon,Pimple Saudagar,West,To be decided,Angel,1000
